,remaining_min,power_of_shot,knockout_match,game_season,remaining_sec,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,team_name,date_of_game,home/away,shot_id_number,type_of_combined_shot
0,10,1,0,0.465333333,27,38,,0.401907357,0.405921777,0.401068702,Manchester United,31-10-2000,1,1,0.275
1,10,1,0,0.465333333,22,35,0,0.396062729,0.405921777,0.433519553,Manchester United,31-10-2000,1,2,0.31147541
2,7,1,0,0.465333333,45,36,1,0.3740625,0.405921777,0.401068702,Manchester United,31-10-2000,1,3,0.267241379
3,6,1,0,0.465333333,52,42,0,0.384269068,0.405921777,0.401068702,Manchester United,31-10-2000,1,4,0.392125818
4,6,2,0,0.465333333,19,20,1,0.519510829,0.608734245,0.567672703,Manchester United,31-10-2000,1,5,0.814352574
5,9,3,0,0.465333333,32,34,0,0.396062729,0.405921777,0.433519553,Manchester United,31-10-2000,1,6,0.578431373
6,8,3,0,0.465333333,52,20,1,0.519510829,0.608734245,0.567672703,Manchester United,31-10-2000,1,7,0.60252996
7,8,3,0,0.465333333,5,22,,0.519510829,0.608734245,0.567672703,Manchester United,31-10-2000,1,8,0.392125818
8,6,3,0,0.465333333,12,32,1,0.396062729,0.453272287,0.433519553,Manchester United,31-10-2000,1,9,0.312859885
9,3,3,0,0.465333333,36,32,0,0.519510829,0.453272287,0.433519553,Manchester United,31-10-2000,1,10,0.67761807
10,1,3,0,0.465333333,56,45,0,0.3740625,0.338028169,0.338690237,Manchester United,31-10-2000,1,11,0.281553398
11,11,1,0,0.465333333,0,37,1,0.384269068,0.405921777,0.401068702,Manchester United,01-11-2000,0,12,0.392125818
12,7,1,0,0.465333333,0,32,1,0.396062729,0.453272287,0.433519553,Manchester United,01-11-2000,0,13,0.67761807
13,7,1,0,0.465333333,44,29,0,0.396062729,0.405921777,0.433519553,Manchester United,01-11-2000,0,14,0.392125818
14,1,1,0,0.465333333,16,25,0,0.519510829,0.453272287,0.567672703,Manchester United,01-11-2000,0,15,0.667808219
15,0,1,0,0.465333333,16,40,0,0.519510829,0.405921777,0.401068702,Manchester United,01-11-2000,0,16,0.392125818
16,0,1,0,0.465333333,1,20,,0.519510829,0.608734245,0.567672703,Manchester United,01-11-2000,0,17,0.60252996
17,8,2,0,0.465333333,50,45,1,0.3740625,0.608734245,0.567672703,Manchester United,01-11-2000,0,18,0.316666667
18,11,3,0,0.465333333,29,36,0,0.3740625,0.405921777,0.401068702,Manchester United,01-11-2000,0,19,0.392125818
19,10,3,0,0.465333333,46,20,,0.519510829,0.405921777,0.567672703,Manchester United,01-11-2000,0,20,0.60252996
20,10,3,0,0.465333333,8,34,0,0.519510829,0.405921777,0.433519553,Manchester United,01-11-2000,0,21,0.341269841
21,9,3,0,0.465333333,4,38,,0.384269068,0.405921777,0.401068702,Manchester United,01-11-2000,0,22,0.460992908
22,7,3,0,0.465333333,57,31,1,0.519510829,0.453272287,0.433519553,Manchester United,01-11-2000,0,23,0.67761807
23,5,3,0,0.465333333,47,38,1,0.3740625,0.405921777,0.401068702,Manchester United,01-11-2000,0,24,0.392125818
24,5,3,0,0.465333333,11,27,1,0.519510829,0.453272287,0.567672703,Manchester United,01-11-2000,0,25,0.392125818
25,2,3,0,0.465333333,36,20,0,0.519510829,0.608734245,0.567672703,Manchester United,01-11-2000,0,26,0.60252996
26,2,3,0,0.465333333,4,40,0,0.519510829,0.405921777,0.401068702,Manchester United,01-11-2000,0,27,0.275
27,0,3,0,0.465333333,30,46,0,0.3740625,0.338028169,0.338690237,Manchester United,01-11-2000,0,28,0.435483871
28,8,4,0,0.465333333,30,39,0,0.384269068,0.405921777,0.401068702,Manchester United,01-11-2000,0,29,0.392125818
29,6,4,0,0.465333333,22,28,0,0.519510829,0.453272287,0.433519553,Manchester United,01-11-2000,0,30,0.31147541
30,1,4,0,0.465333333,20,32,1,0.401907357,0.405921777,0.433519553,Manchester United,01-11-2000,0,31,0.67761807
31,0,4,0,0.465333333,30,33,0,0.401907357,0.405921777,0.433519553,Manchester United,01-11-2000,0,32,0.392125818
32,11,1,0,0.465333333,26,37,,0.401907357,0.405921777,0.401068702,Manchester United,04-11-2000,1,33,0.275510204
33,10,1,0,0.465333333,58,40,,0.384269068,0.405921777,0.401068702,Manchester United,04-11-2000,1,34,0.392125818
34,7,1,0,0.465333333,33,21,,0.519510829,0.608734245,0.567672703,Manchester United,04-11-2000,1,35,0.377292576
35,5,1,0,0.465333333,58,21,,0.519510829,0.608734245,0.567672703,Manchester United,04-11-2000,1,36,0.377292576
36,4,1,0,0.465333333,9,20,,0.519510829,0.608734245,0.567672703,Manchester United,04-11-2000,1,37,0.60252996
37,5,2,0,0.465333333,33,36,,0.3740625,0.405921777,0.567672703,Manchester United,04-11-2000,1,38,0.814352574
38,3,2,0,0.465333333,30,40,1,0.384269068,0.405921777,0.401068702,Manchester United,04-11-2000,1,39,0.392125818
39,0,2,0,0.465333333,4,47,1,0.519510829,0.338028169,0.338690237,Manchester United,04-11-2000,1,40,0.392125818
40,11,3,0,0.465333333,12,38,0,0.396062729,0.405921777,0.401068702,Manchester United,04-11-2000,1,41,0.392125818
41,10,3,0,0.465333333,13,20,1,0.519510829,0.608734245,0.567672703,Manchester United,04-11-2000,1,42,0.377292576
42,8,3,0,0.465333333,59,40,1,0.384269068,0.405921777,0.401068702,Manchester United,04-11-2000,1,43,0.392125818
43,8,3,0,0.465333333,29,25,0,0.519510829,0.453272287,0.567672703,Manchester United,04-11-2000,1,44,0.392125818
44,4,3,0,0.465333333,29,22,,0.519510829,0.608734245,0.567672703,Manchester United,04-11-2000,1,45,0.377292576
45,3,3,0,0.465333333,21,20,1,0.519510829,0.608734245,0.567672703,Manchester United,04-11-2000,1,46,0.377292576
46,2,3,0,0.465333333,55,20,0,0.519510829,0.608734245,0.567672703,Manchester United,04-11-2000,1,47,0.814352574
47,2,3,0,0.465333333,55,20,1,0.519510829,0.608734245,0.567672703,Manchester United,04-11-2000,1,48,0.667808219
48,4,4,0,0.465333333,55,37,1,0.384269068,0.608734245,0.401068702,Manchester United,04-11-2000,1,49,0.392125818
49,3,4,0,0.465333333,19,37,,0.396062729,0.405921777,0.401068702,Manchester United,04-11-2000,1,50,0.392125818
50,1,4,0,0.465333333,8,20,0,0.519510829,0.608734245,0.567672703,Manchester United,04-11-2000,1,51,0.377292576
51,1,4,0,0.465333333,6,21,0,0.519510829,0.608734245,0.567672703,Manchester United,04-11-2000,1,52,0.377292576
52,10,1,0,0.465333333,33,27,0,0.519510829,0.453272287,0.567672703,Manchester United,05-11-2000,0,53,0.267241379
53,10,1,0,0.465333333,4,38,0,0.396062729,0.405921777,0.401068702,Manchester United,05-11-2000,0,54,0.392125818
54,4,1,0,0.465333333,58,48,,0.3740625,0.338028169,0.338690237,Manchester United,05-11-2000,0,55,0.392125818
55,2,1,0,0.465333333,33,44,0,0.3740625,0.338028169,0.338690237,Manchester United,05-11-2000,0,56,0.392125818
56,2,2,0,0.465333333,26,42,1,0.519510829,0.405921777,0.401068702,Manchester United,05-11-2000,0,57,0.297297297
57,8,2,0,0.465333333,40,20,1,0.519510829,0.608734245,0.567672703,Manchester United,05-11-2000,0,58,0.60252996
58,4,2,0,0.465333333,5,20,1,0.519510829,0.608734245,0.567672703,Manchester United,05-11-2000,0,59,0.814352574
59,3,2,0,0.465333333,10,48,,0.384269068,0.338028169,0.338690237,Manchester United,05-11-2000,0,60,0.313559322
60,2,2,0,0.465333333,2,31,0,0.519510829,0.453272287,0.433519553,Manchester United,05-11-2000,0,61,0.312859885
61,0,2,0,0.465333333,47,25,,0.519510829,0.453272287,0.567672703,Manchester United,05-11-2000,0,62,0.377292576
62,0,3,0,0.465333333,32,20,0,0.519510829,0.608734245,0.567672703,Manchester United,05-11-2000,0,63,0.60252996
63,0,3,0,0.465333333,37,25,0,0.519510829,0.453272287,0.567672703,Manchester United,05-11-2000,0,64,0.60252996
64,0,3,0,0.465333333,1,32,1,0.401907357,0.453272287,0.433519553,Manchester United,05-11-2000,0,65,0.67761807
65,10,4,0,0.465333333,13,29,,0.519510829,0.453272287,0.433519553,Manchester United,05-11-2000,0,66,0.392125818
66,9,1,0,0.465333333,6,32,,0.396062729,0.405921777,0.433519553,Manchester United,07-11-2000,1,67,0.392125818
67,8,1,0,0.465333333,17,43,0,0.401907357,0.332307692,0.338690237,Manchester United,07-11-2000,1,68,0.390625
68,7,1,0,0.465333333,53,20,1,0.401907357,0.608734245,0.567672703,Manchester United,07-11-2000,1,69,0.60252996
69,7,1,0,0.465333333,1,20,1,0.519510829,0.608734245,0.567672703,Manchester United,07-11-2000,1,70,0.814352574
70,5,1,0,0.465333333,15,39,,0.401907357,0.405921777,0.401068702,Manchester United,07-11-2000,1,71,0.333333333
71,3,1,0,0.465333333,11,45,,0.519510829,0.338028169,0.338690237,Manchester United,07-11-2000,1,72,0.392125818
72,7,2,0,0.465333333,56,20,1,0.519510829,0.608734245,0.567672703,Manchester United,07-11-2000,1,73,0.60252996
73,2,2,0,0.465333333,40,27,0,0.519510829,0.608734245,0.567672703,Manchester United,07-11-2000,1,74,0.551282051
74,0,2,0,0.465333333,40,45,0,0.384269068,0.338028169,0.338690237,Manchester United,07-11-2000,1,75,0.814352574
75,11,3,0,0.465333333,2,42,,0.3740625,0.405921777,0.401068702,Manchester United,07-11-2000,1,76,0.312859885
76,9,3,0,0.465333333,10,25,0,0.519510829,0.453272287,0.567672703,Manchester United,07-11-2000,1,77,0.814352574
77,7,3,0,0.465333333,24,33,0,0.396062729,0.405921777,0.433519553,Manchester United,07-11-2000,1,78,0.312859885
78,0,3,0,0.465333333,1,28,0,0.396062729,0.453272287,0.433519553,Manchester United,07-11-2000,1,79,0.408163265
79,11,4,0,0.465333333,49,27,,0.519510829,0.453272287,0.567672703,Manchester United,07-11-2000,1,80,0.34351145
80,5,4,0,0.465333333,1,33,1,0.519510829,0.453272287,0.433519553,Manchester United,07-11-2000,1,81,0.341269841
81,0,4,0,0.465333333,46,35,0,0.519510829,0.405921777,0.433519553,Manchester United,07-11-2000,1,82,0.392125818
82,11,1,0,0.465333333,41,44,0,0.384269068,0.338028169,0.338690237,Manchester United,07-11-2000,1,83,0.527075812
83,11,1,0,0.465333333,59,20,0,0.519510829,0.608734245,0.567672703,Manchester United,08-11-2000,1,84,0.667808219
84,9,1,0,0.465333333,48,27,,0.519510829,0.453272287,0.567672703,Manchester United,08-11-2000,1,85,0.392125818
85,7,1,0,0.465333333,26,33,,0.396062729,0.405921777,0.433519553,Manchester United,08-11-2000,1,86,0.392125818
86,6,1,0,0.465333333,36,38,,0.384269068,0.405921777,0.401068702,Manchester United,08-11-2000,1,87,0.405882353
